epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.4552,3.4365,6.57316,2.9258,0,0,0,0,3.18827,7.27697,3.00332,0.0005,0.0005,0.0005
2,33.0571,3.41258,7.14593,2.8004,0,0,0,0,4.11764,8.15313,3.69349,0.00075375,0.00075375,0.00075375
3,50.13,3.41157,6.62175,2.82166,0,0,0,0,4.33758,8.26406,3.68287,0.000425,0.000425,0.000425
