epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,13298,0.84738,0.68209,1.08182,0.71337,0.71333,0.70831,0.49907,1.29321,0.96352,1.25128,0.000456863,0.000456863,0.000456863
43,13631.2,0.86428,0.68562,1.07572,0.72651,0.70765,0.70986,0.49121,1.32163,0.98987,1.25745,0.00044925,0.00044925,0.00044925
44,13944.4,0.85366,0.67196,1.08808,0.75201,0.68815,0.7128,0.49491,1.31776,0.95948,1.25496,0.000441637,0.000441637,0.000441637
45,14249.9,0.83806,0.665,1.0727,0.72413,0.70874,0.69981,0.48672,1.31122,0.94533,1.25837,0.000434024,0.000434024,0.000434024
46,14551.7,0.85174,0.68314,1.08358,0.77182,0.68711,0.70313,0.49219,1.30152,1.01882,1.24826,0.000426411,0.000426411,0.000426411
47,14853.6,0.84048,0.65996,1.07824,0.74503,0.70824,0.72156,0.49596,1.31871,0.97803,1.2548,0.000418797,0.000418797,0.000418797
48,15150.3,0.8373,0.66143,1.0738,0.76892,0.69677,0.7141,0.49179,1.29467,1.00093,1.2455,0.000411184,0.000411184,0.000411184
49,15450.3,0.84057,0.64073,1.07078,0.75165,0.7034,0.70017,0.49654,1.30348,0.98853,1.25204,0.000403571,0.000403571,0.000403571
50,15746.2,0.82255,0.64524,1.06881,0.76031,0.69713,0.71227,0.50459,1.2731,0.95425,1.24048,0.000395958,0.000395958,0.000395958
51,16043.3,0.81681,0.62879,1.06778,0.7434,0.72019,0.73534,0.51142,1.29209,0.92571,1.23584,0.000388345,0.000388345,0.000388345
52,16333.1,0.81533,0.63258,1.05446,0.78412,0.69085,0.72126,0.5114,1.27412,0.95427,1.22207,0.000380732,0.000380732,0.000380732
53,16628.3,0.80505,0.61534,1.05771,0.81308,0.70328,0.74277,0.51681,1.28808,0.91081,1.24819,0.000373119,0.000373119,0.000373119
54,16922.4,0.82122,0.62932,1.06146,0.75295,0.69879,0.70959,0.49675,1.28601,0.95713,1.23509,0.000365506,0.000365506,0.000365506
55,17208,0.80772,0.61724,1.0593,0.76938,0.71599,0.73805,0.5194,1.27359,0.93827,1.24563,0.000357893,0.000357893,0.000357893
56,17515.3,0.80449,0.61187,1.049,0.73661,0.7025,0.70767,0.50429,1.27669,0.9631,1.22826,0.00035028,0.00035028,0.00035028
57,17802.7,0.80813,0.6152,1.0545,0.82548,0.69837,0.7282,0.50937,1.28084,0.93513,1.23745,0.000342666,0.000342666,0.000342666
58,18089.5,0.78783,0.5983,1.04589,0.78571,0.7038,0.725,0.5096,1.28158,0.96103,1.25268,0.000335053,0.000335053,0.000335053
59,18375.2,0.80489,0.61475,1.05857,0.76616,0.71201,0.72632,0.51122,1.27573,0.90664,1.24209,0.00032744,0.00032744,0.00032744
60,18658.9,0.79858,0.58921,1.05075,0.77467,0.70933,0.7314,0.51292,1.29541,0.93417,1.2511,0.000319827,0.000319827,0.000319827
61,18939.9,0.80058,0.59658,1.04253,0.78628,0.70564,0.73403,0.51844,1.26125,0.93905,1.23494,0.000312214,0.000312214,0.000312214
62,19217.8,0.77832,0.58844,1.04422,0.77909,0.70087,0.7153,0.5086,1.27486,0.95755,1.24454,0.000304601,0.000304601,0.000304601
63,19507.1,0.79396,0.58675,1.04431,0.75056,0.73321,0.73438,0.51349,1.25991,0.89937,1.23904,0.000296988,0.000296988,0.000296988
64,19785.7,0.77464,0.58263,1.03853,0.79218,0.71703,0.74493,0.52334,1.26178,0.90376,1.23278,0.000289375,0.000289375,0.000289375
65,20066.4,0.76427,0.56635,1.03594,0.78467,0.68851,0.72594,0.50921,1.26715,0.92817,1.23396,0.000281762,0.000281762,0.000281762
66,20352.6,0.77831,0.57337,1.04065,0.7888,0.70329,0.72588,0.51626,1.25631,0.91326,1.23078,0.000274148,0.000274148,0.000274148
67,20622.8,0.77256,0.56911,1.03504,0.80563,0.69673,0.73688,0.52069,1.23943,0.89755,1.20999,0.000266535,0.000266535,0.000266535
68,20889.4,0.77864,0.56113,1.03404,0.78859,0.70414,0.73896,0.51841,1.26951,0.89339,1.23748,0.000258922,0.000258922,0.000258922
69,21168.9,0.77136,0.56608,1.03397,0.78373,0.71697,0.73703,0.52065,1.25504,0.91385,1.23076,0.000251309,0.000251309,0.000251309
70,21432.4,0.75545,0.55179,1.02995,0.75931,0.72621,0.73619,0.52223,1.24194,0.89182,1.2283,0.000243696,0.000243696,0.000243696
71,21696.3,0.75989,0.5444,1.02723,0.76097,0.72517,0.73769,0.51888,1.2729,0.88739,1.23701,0.000236083,0.000236083,0.000236083
72,21959.6,0.75947,0.54,1.02995,0.77545,0.72112,0.74169,0.52157,1.26144,0.87805,1.23019,0.00022847,0.00022847,0.00022847
73,22233.2,0.7497,0.5407,1.02174,0.77702,0.73778,0.74828,0.52255,1.25849,0.86633,1.23235,0.000220857,0.000220857,0.000220857
74,22524.1,0.74696,0.54302,1.01905,0.77902,0.7386,0.74804,0.52567,1.25082,0.85415,1.2215,0.000213244,0.000213244,0.000213244
75,22813.7,0.74894,0.53505,1.02038,0.77305,0.73146,0.74748,0.52899,1.25982,0.87352,1.24149,0.000205631,0.000205631,0.000205631
76,23128,0.74704,0.53408,1.02174,0.76376,0.72892,0.73854,0.51936,1.25887,0.89854,1.23053,0.000198018,0.000198018,0.000198018
77,23438.1,0.73554,0.52568,1.01508,0.77239,0.72023,0.74218,0.52049,1.25605,0.90333,1.22739,0.000190404,0.000190404,0.000190404
78,23760.5,0.747,0.53473,1.02455,0.78161,0.72459,0.74931,0.52558,1.25596,0.8808,1.23667,0.000182791,0.000182791,0.000182791
79,24049.7,0.73996,0.52724,1.01572,0.79028,0.7186,0.74907,0.52892,1.24457,0.89273,1.22449,0.000175178,0.000175178,0.000175178
80,24341.7,0.71514,0.51133,1.01011,0.81644,0.71249,0.74968,0.52919,1.24535,0.87029,1.22078,0.000167565,0.000167565,0.000167565
81,24621.1,0.7354,0.51889,1.01461,0.7968,0.72653,0.7521,0.52929,1.25109,0.8824,1.2325,0.000159952,0.000159952,0.000159952
82,24897.6,0.72264,0.51222,1.01223,0.79823,0.72438,0.75221,0.52761,1.25627,0.9072,1.22382,0.000152339,0.000152339,0.000152339
83,25166.5,0.73268,0.51639,1.01757,0.80999,0.73675,0.75522,0.52958,1.25749,0.87383,1.23568,0.000144726,0.000144726,0.000144726
84,25458.3,0.72709,0.5174,1.01271,0.79408,0.73362,0.75332,0.53248,1.25997,0.89045,1.23627,0.000137113,0.000137113,0.000137113
85,25728.6,0.72295,0.51388,1.01221,0.79243,0.73366,0.75105,0.52822,1.26387,0.89511,1.23412,0.0001295,0.0001295,0.0001295
86,26009.8,0.71222,0.49829,1.00606,0.78056,0.7414,0.75031,0.52855,1.25655,0.8908,1.22999,0.000121887,0.000121887,0.000121887
87,26301.6,0.71557,0.50004,1.00728,0.7895,0.73924,0.76358,0.53798,1.24928,0.86522,1.22617,0.000114273,0.000114273,0.000114273
88,26597.5,0.69943,0.49258,0.9981,0.7868,0.73418,0.75287,0.53252,1.25853,0.88573,1.23023,0.00010666,0.00010666,0.00010666
89,26886.1,0.70379,0.49282,1.00042,0.7995,0.73457,0.75481,0.53068,1.26359,0.89226,1.23861,9.90472e-05,9.90472e-05,9.90472e-05
90,27166.6,0.70717,0.49224,1.00523,0.79728,0.74294,0.7577,0.53235,1.254,0.88455,1.22992,9.14341e-05,9.14341e-05,9.14341e-05
91,27449,0.7003,0.45417,0.99328,0.81513,0.71555,0.75046,0.52671,1.2671,0.91874,1.24394,8.3821e-05,8.3821e-05,8.3821e-05
92,27754.5,0.67969,0.43396,0.9736,0.7852,0.7329,0.7475,0.52755,1.25883,0.90986,1.24104,7.62079e-05,7.62079e-05,7.62079e-05
93,28103.5,0.68089,0.42697,0.9741,0.77874,0.7487,0.75265,0.53109,1.25683,0.90228,1.24771,6.85948e-05,6.85948e-05,6.85948e-05
94,28489,0.67003,0.42128,0.97369,0.78898,0.71971,0.7529,0.53219,1.26283,0.89822,1.25006,6.09817e-05,6.09817e-05,6.09817e-05
95,28873.5,0.65987,0.41177,0.96758,0.79292,0.73435,0.75398,0.53216,1.25654,0.88937,1.24509,5.33686e-05,5.33686e-05,5.33686e-05
96,29250.5,0.67049,0.42015,0.98092,0.79068,0.73745,0.75569,0.53238,1.25609,0.89495,1.24366,4.57555e-05,4.57555e-05,4.57555e-05
97,29640.3,0.65078,0.40914,0.96264,0.784,0.73848,0.75558,0.53359,1.25928,0.8926,1.24258,3.81424e-05,3.81424e-05,3.81424e-05
98,30030,0.65392,0.40748,0.9668,0.78702,0.73713,0.75131,0.53026,1.26123,0.89715,1.24433,3.05293e-05,3.05293e-05,3.05293e-05
99,30416.6,0.64858,0.40485,0.96695,0.78467,0.74357,0.75705,0.53464,1.25475,0.87916,1.24144,2.29162e-05,2.29162e-05,2.29162e-05
100,30793.2,0.65404,0.40783,0.96794,0.78859,0.74241,0.75536,0.53427,1.25341,0.88643,1.24111,1.53031e-05,1.53031e-05,1.53031e-05
