epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,176.8,1.30298,2.7922,1.43256,0.74358,0.4573,0.52626,0.37838,1.46618,5.29597,1.63095,0.000368809,0.000368809,0.000368809
2,441.811,1.19695,1.87112,1.35524,0.54217,0.53277,0.51995,0.35636,1.49147,3.12303,1.61316,0.000592792,0.000592792,0.000592792
3,729.798,1.12698,1.50195,1.30896,0.60544,0.54894,0.56276,0.3893,1.48653,2.15338,1.67021,0.000670124,0.000670124,0.000670124
